time,.data
2018/04/01/18:14:31.364167,1.99954175949
2018/04/01/18:14:31.364177,1.99954175949
2018/04/01/18:14:31.389996,2.85926175117
2018/04/01/18:14:31.391544,2.85926175117
2018/04/01/18:14:31.408864,2.61155700684
2018/04/01/18:14:31.408867,2.61155700684
2018/04/01/18:14:31.435862,0.432557582855
2018/04/01/18:14:31.436073,0.432557582855
2018/04/01/18:14:31.445358,0.0594178885221
2018/04/01/18:14:31.446789,0.0594178885221
2018/04/01/18:14:31.474561,0.189613133669
2018/04/01/18:14:31.474728,0.189613133669
2018/04/01/18:14:31.495307,-2.54537439346
2018/04/01/18:14:31.495649,-2.54537439346
2018/04/01/18:14:31.507746,-3.54617238045
2018/04/01/18:14:31.507757,-3.54617238045
2018/04/01/18:14:31.542070,-3.55314278603
2018/04/01/18:14:31.542196,-3.55314278603
2018/04/01/18:14:31.553725,-2.26409459114
2018/04/01/18:14:31.553733,-2.26409459114
2018/04/01/18:14:31.582660,-2.47620415688
2018/04/01/18:14:31.582675,-2.47620415688
2018/04/01/18:14:31.596897,-5.29000377655
2018/04/01/18:14:31.597121,-5.29000377655
2018/04/01/18:14:31.617911,-6.6388130188
2018/04/01/18:14:31.618093,-6.6388130188
2018/04/01/18:14:31.640937,-5.86343765259
2018/04/01/18:14:31.640966,-5.86343765259
2018/04/01/18:14:31.668376,-6.27199935913
2018/04/01/18:14:31.668573,-6.27199935913
2018/04/01/18:14:31.689243,-7.59980773926
2018/04/01/18:14:31.689465,-7.59980773926
2018/04/01/18:14:31.704431,-6.70831489563
2018/04/01/18:14:31.704464,-6.70831489563
2018/04/01/18:14:31.732725,-8.04076862335
2018/04/01/18:14:31.732734,-8.04076862335
2018/04/01/18:14:31.749691,-9.29279613495
2018/04/01/18:14:31.749701,-9.29279613495
2018/04/01/18:14:31.768038,-11.3152828217
2018/04/01/18:14:31.768044,-11.3152828217
2018/04/01/18:14:31.792860,-13.9717874527
2018/04/01/18:14:31.792911,-13.9717874527
2018/04/01/18:14:31.814842,-15.2046728134
2018/04/01/18:14:31.814876,-15.2046728134
2018/04/01/18:14:31.838741,-14.3953905106
2018/04/01/18:14:31.838813,-14.3953905106
2018/04/01/18:14:31.860085,-14.9075222015
2018/04/01/18:14:31.860188,-14.9075222015
2018/04/01/18:14:31.901939,-15.823012352
2018/04/01/18:14:31.902067,-15.823012352
2018/04/01/18:14:31.910751,-16.2643527985
2018/04/01/18:14:31.910807,-16.2643527985
2018/04/01/18:14:31.924579,-16.9554767609
2018/04/01/18:14:31.924692,-16.9554767609
2018/04/01/18:14:31.937487,-16.8910617828
2018/04/01/18:14:31.937822,-16.8910617828
2018/04/01/18:14:31.966720,-19.5020675659
2018/04/01/18:14:31.967146,-19.5020675659
2018/04/01/18:14:31.987288,-19.5020675659
2018/04/01/18:14:31.987345,-19.5020675659
2018/04/01/18:14:32.009001,-22.3278713226
2018/04/01/18:14:32.009012,-22.3278713226
2018/04/01/18:14:32.021063,-27.4489746094
2018/04/01/18:14:32.021132,-27.4489746094
2018/04/01/18:14:32.053931,-29.826210022
2018/04/01/18:14:32.054114,-29.826210022
2018/04/01/18:14:32.067211,-31.9271793365
2018/04/01/18:14:32.067236,-31.9271793365
2018/04/01/18:14:32.088392,-32.71925354
2018/04/01/18:14:32.088732,-32.71925354
2018/04/01/18:14:32.116896,-33.112613678
2018/04/01/18:14:32.116925,-33.112613678
2018/04/01/18:14:32.134586,-34.9774856567
2018/04/01/18:14:32.134700,-34.9774856567
2018/04/01/18:14:32.148722,-39.452041626
2018/04/01/18:14:32.149052,-39.452041626
2018/04/01/18:14:32.179728,-39.1794128418
2018/04/01/18:14:32.179737,-39.1794128418
2018/04/01/18:14:32.197586,-39.4973945618
2018/04/01/18:14:32.197595,-39.4973945618
2018/04/01/18:14:32.213327,-36.4594802856
2018/04/01/18:14:32.213376,-36.4594802856
2018/04/01/18:14:32.242690,-34.5731239319
2018/04/01/18:14:32.242771,-34.5731239319
2018/04/01/18:14:32.266154,-38.3456230164
2018/04/01/18:14:32.267460,-38.3456230164
2018/04/01/18:14:32.286256,-38.5982322693
2018/04/01/18:14:32.286414,-38.5982322693
2018/04/01/18:14:32.302484,-46.2674407959
2018/04/01/18:14:32.302646,-46.2674407959
2018/04/01/18:14:32.329650,-47.3315010071
2018/04/01/18:14:32.329753,-47.3315010071
2018/04/01/18:14:32.344671,-50.8700447083
2018/04/01/18:14:32.346788,-50.8700447083
2018/04/01/18:14:32.367103,-51.221988678
2018/04/01/18:14:32.367113,-51.221988678
2018/04/01/18:14:32.414401,-53.7103157043
2018/04/01/18:14:32.414712,-53.7103157043
2018/04/01/18:14:32.424625,-54.634929657
2018/04/01/18:14:32.424646,-54.634929657
2018/04/01/18:14:32.436587,-56.6574134827
2018/04/01/18:14:32.436634,-56.6574134827
2018/04/01/18:14:32.458515,-56.3735351562
2018/04/01/18:14:32.458607,-56.3735351562
2018/04/01/18:14:32.470710,-51.6303710938
2018/04/01/18:14:32.470985,-51.6303710938
2018/04/01/18:14:32.500673,-49.1306991577
2018/04/01/18:14:32.500684,-49.1306991577
2018/04/01/18:14:32.514539,-41.5620040894
2018/04/01/18:14:32.514915,-41.5620040894
2018/04/01/18:14:32.541107,-45.7797889709
