time,.data
2018/04/01/18:14:32.605508,-20.8467388153
2018/04/01/18:14:32.605896,-20.8467388153
2018/04/01/18:14:32.628259,-19.7922420502
2018/04/01/18:14:32.628467,-19.7922420502
2018/04/01/18:14:32.640375,-20.8568973541
2018/04/01/18:14:32.642453,-20.8568973541
2018/04/01/18:14:32.669477,-19.9690742493
2018/04/01/18:14:32.669489,-19.9690742493
2018/04/01/18:14:32.691822,-22.8834705353
2018/04/01/18:14:32.692051,-22.8834705353
2018/04/01/18:14:32.712105,-22.3068675995
2018/04/01/18:14:32.712126,-22.3068675995
2018/04/01/18:14:32.734452,-24.824092865
2018/04/01/18:14:32.734464,-24.824092865
2018/04/01/18:14:32.744703,-25.7802963257
2018/04/01/18:14:32.744716,-25.7802963257
2018/04/01/18:14:32.774863,-26.0901832581
2018/04/01/18:14:32.774873,-26.0901832581
2018/04/01/18:14:32.800811,-28.5322093964
2018/04/01/18:14:32.801228,-28.5322093964
2018/04/01/18:14:32.810653,-29.5882282257
2018/04/01/18:14:32.810780,-29.5882282257
2018/04/01/18:14:32.847720,-27.8114280701
2018/04/01/18:14:32.847908,-27.8114280701
2018/04/01/18:14:32.863542,-25.8299541473
2018/04/01/18:14:32.863693,-25.8299541473
2018/04/01/18:14:32.885540,-25.1341362
2018/04/01/18:14:32.885756,-25.1341362
2018/04/01/18:14:32.901502,-22.5743350983
2018/04/01/18:14:32.901747,-22.5743350983
2018/04/01/18:14:32.927922,-24.451631546
2018/04/01/18:14:32.927989,-24.451631546
2018/04/01/18:14:32.948288,-23.3329601288
2018/04/01/18:14:32.948539,-23.3329601288
2018/04/01/18:14:32.959016,-26.0130443573
2018/04/01/18:14:32.959997,-26.0130443573
2018/04/01/18:14:32.994006,-26.1063022614
2018/04/01/18:14:32.994010,-26.1063022614
2018/04/01/18:14:33.013427,-26.8446655273
2018/04/01/18:14:33.013443,-26.8446655273
2018/04/01/18:14:33.026402,-26.9657497406
2018/04/01/18:14:33.026415,-26.9657497406
2018/04/01/18:14:33.054564,-27.2456054688
2018/04/01/18:14:33.054736,-27.2456054688
2018/04/01/18:14:33.066416,-29.9171485901
2018/04/01/18:14:33.066492,-29.9171485901
2018/04/01/18:14:33.098287,-32.6371421814
2018/04/01/18:14:33.098300,-32.6371421814
2018/04/01/18:14:33.122646,-33.4135398865
2018/04/01/18:14:33.122657,-33.4135398865
2018/04/01/18:14:33.137768,-33.2954864502
2018/04/01/18:14:33.138225,-33.2954864502
2018/04/01/18:14:33.160847,-34.4772033691
2018/04/01/18:14:33.161089,-34.4772033691
2018/04/01/18:14:33.183372,-30.3138504028
2018/04/01/18:14:33.183394,-30.3138504028
2018/04/01/18:14:33.197511,-32.3758621216
2018/04/01/18:14:33.197519,-32.3758621216
2018/04/01/18:14:33.214309,-28.165971756
2018/04/01/18:14:33.214317,-28.165971756
2018/04/01/18:14:33.242445,-27.4428386688
2018/04/01/18:14:33.244381,-27.4428386688
2018/04/01/18:14:33.268501,-26.3270244598
2018/04/01/18:14:33.268523,-26.3270244598
2018/04/01/18:14:33.283571,-22.5221271515
2018/04/01/18:14:33.283727,-22.5221271515
2018/04/01/18:14:33.311970,-21.2730789185
2018/04/01/18:14:33.312141,-21.2730789185
2018/04/01/18:14:33.333326,-21.5107975006
2018/04/01/18:14:33.333502,-21.5107975006
2018/04/01/18:14:33.354298,-20.3043079376
2018/04/01/18:14:33.354345,-20.3043079376
2018/04/01/18:14:33.365719,-19.9058570862
2018/04/01/18:14:33.365732,-19.9058570862
2018/04/01/18:14:33.396248,-21.53099823
2018/04/01/18:14:33.396413,-21.53099823
2018/04/01/18:14:33.407829,-20.1710166931
2018/04/01/18:14:33.408216,-20.1710166931
2018/04/01/18:14:33.439041,-21.7874164581
2018/04/01/18:14:33.439074,-21.7874164581
2018/04/01/18:14:33.460741,-19.4378509521
2018/04/01/18:14:33.460803,-19.4378509521
2018/04/01/18:14:33.481682,-21.816942215
2018/04/01/18:14:33.481696,-21.816942215
2018/04/01/18:14:33.504385,-21.5901660919
2018/04/01/18:14:33.506438,-21.5901660919
2018/04/01/18:14:33.525151,-21.812374115
2018/04/01/18:14:33.525818,-21.812374115
2018/04/01/18:14:33.545468,-22.4881744385
2018/04/01/18:14:33.545484,-22.4881744385
2018/04/01/18:14:33.567372,-22.4963493347
