time,.data
2018/04/01/18:14:33.190150,545
2018/04/01/18:14:33.208230,647
2018/04/01/18:14:33.208363,647
2018/04/01/18:14:33.229665,553
2018/04/01/18:14:33.229815,553
2018/04/01/18:14:33.253168,561
2018/04/01/18:14:33.253179,561
2018/04/01/18:14:33.275868,565
2018/04/01/18:14:33.276109,565
2018/04/01/18:14:33.294319,559
2018/04/01/18:14:33.294527,559
2018/04/01/18:14:33.319082,579
2018/04/01/18:14:33.319180,579
2018/04/01/18:14:33.340116,559
2018/04/01/18:14:33.340170,559
2018/04/01/18:14:33.363008,575
2018/04/01/18:14:33.363860,575
2018/04/01/18:14:33.378862,562
2018/04/01/18:14:33.378866,562
2018/04/01/18:14:33.403582,581
2018/04/01/18:14:33.404182,581
2018/04/01/18:14:33.420184,548
2018/04/01/18:14:33.420194,548
2018/04/01/18:14:33.446478,563
2018/04/01/18:14:33.446481,563
2018/04/01/18:14:33.467299,552
2018/04/01/18:14:33.469547,552
2018/04/01/18:14:33.489050,635
2018/04/01/18:14:33.489296,635
2018/04/01/18:14:33.511015,553
2018/04/01/18:14:33.511116,553
2018/04/01/18:14:33.532732,552
2018/04/01/18:14:33.532743,552
2018/04/01/18:14:33.552665,687
2018/04/01/18:14:33.559786,687
2018/04/01/18:14:33.574556,540
2018/04/01/18:14:33.574729,540
2018/04/01/18:14:33.592882,550
2018/04/01/18:14:33.598709,550
2018/04/01/18:14:33.616783,557
2018/04/01/18:14:33.617335,557
2018/04/01/18:14:33.639589,551
2018/04/01/18:14:33.639852,551
2018/04/01/18:14:33.659088,549
2018/04/01/18:14:33.659295,549
2018/04/01/18:14:33.681733,552
2018/04/01/18:14:33.681886,552
2018/04/01/18:14:33.702524,553
2018/04/01/18:14:33.702631,553
2018/04/01/18:14:33.724701,554
2018/04/01/18:14:33.724880,554
2018/04/01/18:14:33.752093,565
2018/04/01/18:14:33.752374,565
2018/04/01/18:14:33.767984,552
2018/04/01/18:14:33.768198,552
2018/04/01/18:14:33.789990,554
2018/04/01/18:14:33.790190,554
2018/04/01/18:14:33.808760,583
2018/04/01/18:14:33.809009,583
2018/04/01/18:14:33.828135,581
2018/04/01/18:14:33.828249,581
2018/04/01/18:14:33.851383,557
2018/04/01/18:14:33.851490,557
2018/04/01/18:14:33.873841,535
2018/04/01/18:14:33.873919,535
2018/04/01/18:14:33.895959,536
2018/04/01/18:14:33.896095,536
2018/04/01/18:14:33.919863,547
2018/04/01/18:14:33.919965,547
2018/04/01/18:14:33.938196,538
2018/04/01/18:14:33.938278,538
2018/04/01/18:14:33.957755,544
2018/04/01/18:14:33.958009,544
2018/04/01/18:14:33.981833,546
2018/04/01/18:14:33.982021,546
2018/04/01/18:14:34.003483,545
2018/04/01/18:14:34.003497,545
2018/04/01/18:14:34.023261,552
2018/04/01/18:14:34.027699,552
2018/04/01/18:14:34.046092,550
2018/04/01/18:14:34.046381,550
2018/04/01/18:14:34.068267,534
2018/04/01/18:14:34.068290,534
2018/04/01/18:14:34.086102,548
2018/04/01/18:14:34.086361,548
2018/04/01/18:14:34.107477,552
2018/04/01/18:14:34.107487,552
2018/04/01/18:14:34.129849,549
2018/04/01/18:14:34.129973,549
2018/04/01/18:14:34.145923,544
2018/04/01/18:14:34.145949,544
2018/04/01/18:14:34.175195,568
2018/04/01/18:14:34.175252,568
2018/04/01/18:14:34.195610,552
2018/04/01/18:14:34.198460,552
2018/04/01/18:14:34.215721,549
2018/04/01/18:14:34.215724,549
2018/04/01/18:14:34.237319,552
2018/04/01/18:14:34.237330,552
2018/04/01/18:14:34.258341,551
2018/04/01/18:14:34.258347,551
2018/04/01/18:14:34.275874,541
2018/04/01/18:14:34.275940,541
2018/04/01/18:14:34.302164,544
2018/04/01/18:14:34.302211,544
2018/04/01/18:14:34.320751,549
2018/04/01/18:14:34.320774,549
2018/04/01/18:14:34.344470,555
2018/04/01/18:14:34.344648,555
2018/04/01/18:14:34.363712,547
2018/04/01/18:14:34.363883,547
2018/04/01/18:14:34.381633,558
2018/04/01/18:14:34.381642,558
2018/04/01/18:14:34.407361,555
2018/04/01/18:14:34.407597,555
2018/04/01/18:14:34.425921,533
2018/04/01/18:14:34.426374,533
2018/04/01/18:14:34.446785,541
2018/04/01/18:14:34.447297,541
2018/04/01/18:14:34.467726,557
2018/04/01/18:14:34.467820,557
2018/04/01/18:14:34.492469,564
2018/04/01/18:14:34.492635,564
2018/04/01/18:14:34.513308,565
2018/04/01/18:14:34.513440,565
