time,.data
2018/04/01/18:14:31.349431,581
2018/04/01/18:14:31.371510,591
2018/04/01/18:14:31.395830,584
2018/04/01/18:14:31.417810,578
2018/04/01/18:14:31.442337,554
2018/04/01/18:14:31.455836,569
2018/04/01/18:14:31.480299,578
2018/04/01/18:14:31.501283,558
2018/04/01/18:14:31.522935,549
2018/04/01/18:14:31.547902,578
2018/04/01/18:14:31.563884,552
2018/04/01/18:14:31.587984,560
2018/04/01/18:14:31.604661,559
2018/04/01/18:14:31.625105,562
2018/04/01/18:14:31.650307,546
2018/04/01/18:14:31.674254,572
2018/04/01/18:14:31.694647,559
2018/04/01/18:14:31.712059,555
2018/04/01/18:14:31.738155,560
2018/04/01/18:14:31.756938,561
2018/04/01/18:14:31.775975,557
2018/04/01/18:14:31.802500,579
2018/04/01/18:14:31.826204,555
2018/04/01/18:14:31.844331,568
2018/04/01/18:14:31.865330,566
2018/04/01/18:14:31.907793,568
2018/04/01/18:14:31.916994,562
2018/04/01/18:14:31.932485,550
2018/04/01/18:14:31.947686,568
2018/04/01/18:14:31.974246,560
2018/04/01/18:14:31.992820,553
2018/04/01/18:14:32.014317,557
2018/04/01/18:14:32.032464,552
2018/04/01/18:14:32.059312,559
2018/04/01/18:14:32.074849,552
2018/04/01/18:14:32.098281,557
2018/04/01/18:14:32.124780,557
2018/04/01/18:14:32.141222,544
2018/04/01/18:14:32.160312,553
2018/04/01/18:14:32.186135,558
2018/04/01/18:14:32.206480,514
2018/04/01/18:14:32.224625,567
2018/04/01/18:14:32.252047,515
2018/04/01/18:14:32.270550,540
2018/04/01/18:14:32.292393,554
2018/04/01/18:14:32.310007,673
2018/04/01/18:14:32.335891,555
2018/04/01/18:14:32.354595,640
2018/04/01/18:14:32.411021,533
2018/04/01/18:14:32.419735,543
2018/04/01/18:14:32.430303,581
2018/04/01/18:14:32.445256,512
2018/04/01/18:14:32.464032,634
2018/04/01/18:14:32.481504,516
2018/04/01/18:14:32.506753,632
2018/04/01/18:14:32.525171,615
2018/04/01/18:14:32.554300,538
2018/04/01/18:14:32.572095,615
2018/04/01/18:14:32.587565,713
2018/04/01/18:14:32.616542,627
2018/04/01/18:14:32.638350,678
2018/04/01/18:14:32.652341,721
