time,.data
2018/04/01/18:14:31.307412,434
2018/04/01/18:14:31.325622,434
2018/04/01/18:14:31.344443,439
2018/04/01/18:14:31.365367,434
2018/04/01/18:14:31.391414,434
2018/04/01/18:14:31.409133,434
2018/04/01/18:14:31.434074,435
2018/04/01/18:14:31.451567,440
2018/04/01/18:14:31.475760,439
2018/04/01/18:14:31.496737,439
2018/04/01/18:14:31.515173,440
2018/04/01/18:14:31.546281,435
2018/04/01/18:14:31.559222,439
2018/04/01/18:14:31.583804,440
2018/04/01/18:14:31.598674,435
2018/04/01/18:14:31.619507,434
2018/04/01/18:14:31.642318,434
2018/04/01/18:14:31.669914,439
2018/04/01/18:14:31.690471,439
2018/04/01/18:14:31.705819,414
2018/04/01/18:14:31.734102,413
2018/04/01/18:14:31.750893,435
2018/04/01/18:14:31.769644,434
2018/04/01/18:14:31.794546,440
2018/04/01/18:14:31.816736,440
2018/04/01/18:14:31.840279,434
2018/04/01/18:14:31.861218,439
2018/04/01/18:14:31.903875,435
2018/04/01/18:14:31.912741,435
2018/04/01/18:14:31.927458,434
2018/04/01/18:14:31.943470,434
2018/04/01/18:14:31.968361,434
2018/04/01/18:14:31.988587,440
2018/04/01/18:14:32.010706,432
2018/04/01/18:14:32.027859,435
2018/04/01/18:14:32.055556,432
2018/04/01/18:14:32.068347,434
2018/04/01/18:14:32.090348,439
2018/04/01/18:14:32.118162,440
2018/04/01/18:14:32.135830,440
2018/04/01/18:14:32.156175,431
2018/04/01/18:14:32.182069,435
2018/04/01/18:14:32.199260,432
2018/04/01/18:14:32.220359,440
2018/04/01/18:14:32.243847,431
2018/04/01/18:14:32.266387,431
2018/04/01/18:14:32.287390,484
2018/04/01/18:14:32.304025,453
2018/04/01/18:14:32.331447,459
2018/04/01/18:14:32.346328,452
2018/04/01/18:14:32.368632,436
2018/04/01/18:14:32.415852,428
2018/04/01/18:14:32.426088,431
2018/04/01/18:14:32.438126,426
2018/04/01/18:14:32.459966,431
2018/04/01/18:14:32.477180,452
2018/04/01/18:14:32.502153,434
2018/04/01/18:14:32.520821,434
2018/04/01/18:14:32.542776,428
2018/04/01/18:14:32.567769,482
2018/04/01/18:14:32.585398,428
2018/04/01/18:14:32.608783,482
2018/04/01/18:14:32.633876,427
2018/04/01/18:14:32.648050,449
2018/04/01/18:14:32.672589,480
2018/04/01/18:14:32.694737,427
2018/04/01/18:14:32.714619,480
2018/04/01/18:14:32.737478,431
2018/04/01/18:14:32.752972,754
2018/04/01/18:14:32.780314,640
2018/04/01/18:14:32.803404,456
2018/04/01/18:14:32.818550,686
2018/04/01/18:14:32.850761,3656
2018/04/01/18:14:32.866274,472
2018/04/01/18:14:32.888316,1133
2018/04/01/18:14:32.904348,843
2018/04/01/18:14:32.931170,469
2018/04/01/18:14:32.951173,797
2018/04/01/18:14:32.987214,428
2018/04/01/18:14:32.996939,729
2018/04/01/18:14:33.016024,428
2018/04/01/18:14:33.032671,407
2018/04/01/18:14:33.057513,561
2018/04/01/18:14:33.076474,449
2018/04/01/18:14:33.101001,598
2018/04/01/18:14:33.126549,3737
2018/04/01/18:14:33.142369,590
2018/04/01/18:14:33.163697,469
2018/04/01/18:14:33.186234,1023
2018/04/01/18:14:33.200646,403
2018/04/01/18:14:33.223479,663
2018/04/01/18:14:33.247023,407
2018/04/01/18:14:33.271108,501
2018/04/01/18:14:33.286155,424
2018/04/01/18:14:33.314906,377
2018/04/01/18:14:33.336049,403
2018/04/01/18:14:33.358548,385
2018/04/01/18:14:33.372819,396
2018/04/01/18:14:33.399207,401
2018/04/01/18:14:33.416417,430
2018/04/01/18:14:33.443055,445
2018/04/01/18:14:33.463304,582
2018/04/01/18:14:33.484330,486
2018/04/01/18:14:33.507095,529
2018/04/01/18:14:33.528537,526
2018/04/01/18:14:33.548593,529
2018/04/01/18:14:33.570679,474
2018/04/01/18:14:33.589046,424
2018/04/01/18:14:33.612526,423
2018/04/01/18:14:33.635143,423
2018/04/01/18:14:33.651408,398
2018/04/01/18:14:33.679808,397
2018/04/01/18:14:33.698159,414
2018/04/01/18:14:33.720206,415
2018/04/01/18:14:33.747573,409
2018/04/01/18:14:33.763961,411
2018/04/01/18:14:33.785075,379
2018/04/01/18:14:33.804612,382
2018/04/01/18:14:33.824118,372
2018/04/01/18:14:33.847463,380
2018/04/01/18:14:33.870004,377
2018/04/01/18:14:33.891582,351
2018/04/01/18:14:33.914841,350
2018/04/01/18:14:33.934248,339
2018/04/01/18:14:33.953563,367
2018/04/01/18:14:33.977575,361
2018/04/01/18:14:33.997662,361
2018/04/01/18:14:34.018877,338
2018/04/01/18:14:34.042338,359
2018/04/01/18:14:34.064049,360
2018/04/01/18:14:34.081783,379
2018/04/01/18:14:34.101230,393
2018/04/01/18:14:34.125998,368
2018/04/01/18:14:34.139921,364
2018/04/01/18:14:34.170345,359
2018/04/01/18:14:34.190354,356
2018/04/01/18:14:34.211694,376
2018/04/01/18:14:34.231202,368
2018/04/01/18:14:34.253397,365
2018/04/01/18:14:34.271472,361
2018/04/01/18:14:34.296950,359
2018/04/01/18:14:34.316755,340
