time,.data
2018/04/01/18:14:31.313443,911
2018/04/01/18:14:31.313551,911
2018/04/01/18:14:31.330653,886
2018/04/01/18:14:31.330781,886
2018/04/01/18:14:31.348223,872
2018/04/01/18:14:31.348383,872
2018/04/01/18:14:31.370322,919
2018/04/01/18:14:31.370463,919
2018/04/01/18:14:31.394065,878
2018/04/01/18:14:31.394417,878
2018/04/01/18:14:31.416674,888
2018/04/01/18:14:31.418042,888
2018/04/01/18:14:31.437032,891
2018/04/01/18:14:31.442512,891
2018/04/01/18:14:31.454316,872
2018/04/01/18:14:31.454322,872
2018/04/01/18:14:31.478863,896
2018/04/01/18:14:31.478933,896
2018/04/01/18:14:31.499476,859
2018/04/01/18:14:31.499541,859
2018/04/01/18:14:31.517682,839
2018/04/01/18:14:31.517847,839
2018/04/01/18:14:31.546402,896
2018/04/01/18:14:31.546411,896
2018/04/01/18:14:31.562541,855
2018/04/01/18:14:31.562824,855
2018/04/01/18:14:31.586802,885
2018/04/01/18:14:31.586812,885
2018/04/01/18:14:31.605208,845
2018/04/01/18:14:31.605336,845
2018/04/01/18:14:31.623961,884
2018/04/01/18:14:31.624020,884
2018/04/01/18:14:31.648988,877
2018/04/01/18:14:31.650473,877
2018/04/01/18:14:31.673020,884
2018/04/01/18:14:31.674270,884
2018/04/01/18:14:31.693136,847
2018/04/01/18:14:31.693257,847
2018/04/01/18:14:31.710598,857
2018/04/01/18:14:31.710601,857
2018/04/01/18:14:31.736954,872
2018/04/01/18:14:31.737131,872
2018/04/01/18:14:31.755722,866
2018/04/01/18:14:31.755961,866
2018/04/01/18:14:31.774271,871
2018/04/01/18:14:31.774387,871
2018/04/01/18:14:31.799913,887
2018/04/01/18:14:31.799929,887
2018/04/01/18:14:31.819892,881
2018/04/01/18:14:31.822489,881
2018/04/01/18:14:31.842957,877
2018/04/01/18:14:31.843063,877
2018/04/01/18:14:31.864021,871
2018/04/01/18:14:31.864094,871
2018/04/01/18:14:31.906239,871
2018/04/01/18:14:31.906313,871
2018/04/01/18:14:31.915843,866
2018/04/01/18:14:31.916340,866
2018/04/01/18:14:31.930945,877
2018/04/01/18:14:31.931245,877
2018/04/01/18:14:31.945603,883
2018/04/01/18:14:31.946467,883
2018/04/01/18:14:31.971050,830
2018/04/01/18:14:31.971063,830
2018/04/01/18:14:31.991481,857
2018/04/01/18:14:31.991485,857
2018/04/01/18:14:32.013038,858
2018/04/01/18:14:32.013067,858
2018/04/01/18:14:32.030687,859
2018/04/01/18:14:32.030696,859
2018/04/01/18:14:32.057978,863
2018/04/01/18:14:32.058103,863
2018/04/01/18:14:32.073248,863
2018/04/01/18:14:32.073288,863
2018/04/01/18:14:32.094331,859
2018/04/01/18:14:32.098269,859
2018/04/01/18:14:32.120914,867
2018/04/01/18:14:32.121154,867
2018/04/01/18:14:32.141204,878
2018/04/01/18:14:32.141491,878
2018/04/01/18:14:32.158924,854
2018/04/01/18:14:32.158938,854
2018/04/01/18:14:32.184921,875
2018/04/01/18:14:32.185030,875
2018/04/01/18:14:32.203942,828
2018/04/01/18:14:32.203954,828
2018/04/01/18:14:32.223215,890
2018/04/01/18:14:32.223221,890
2018/04/01/18:14:32.248895,824
2018/04/01/18:14:32.248902,824
2018/04/01/18:14:32.269110,813
2018/04/01/18:14:32.269351,813
2018/04/01/18:14:32.290324,873
2018/04/01/18:14:32.290523,873
2018/04/01/18:14:32.308764,973
2018/04/01/18:14:32.308774,973
2018/04/01/18:14:32.334069,858
2018/04/01/18:14:32.334347,858
2018/04/01/18:14:32.353264,1005
2018/04/01/18:14:32.354126,1005
2018/04/01/18:14:32.409803,856
2018/04/01/18:14:32.409807,856
2018/04/01/18:14:32.418792,832
2018/04/01/18:14:32.419234,832
2018/04/01/18:14:32.428661,903
2018/04/01/18:14:32.428671,903
2018/04/01/18:14:32.442894,824
2018/04/01/18:14:32.442916,824
2018/04/01/18:14:32.464028,989
2018/04/01/18:14:32.464035,989
2018/04/01/18:14:32.480059,824
2018/04/01/18:14:32.480101,824
2018/04/01/18:14:32.504650,978
2018/04/01/18:14:32.506704,978
2018/04/01/18:14:32.523356,943
2018/04/01/18:14:32.524287,943
2018/04/01/18:14:32.546375,812
2018/04/01/18:14:32.546412,812
2018/04/01/18:14:32.570571,923
2018/04/01/18:14:32.574490,923
2018/04/01/18:14:32.586441,950
2018/04/01/18:14:32.586445,950
2018/04/01/18:14:32.614777,927
2018/04/01/18:14:32.614787,927
2018/04/01/18:14:32.635244,1021
2018/04/01/18:14:32.635328,1021
2018/04/01/18:14:32.650689,1023
2018/04/01/18:14:32.650724,1023
2018/04/01/18:14:32.675048,806
2018/04/01/18:14:32.675058,806
2018/04/01/18:14:32.697698,822
2018/04/01/18:14:32.697974,822
2018/04/01/18:14:32.717178,814
2018/04/01/18:14:32.717363,814
2018/04/01/18:14:32.740244,1023
2018/04/01/18:14:32.740360,1023
2018/04/01/18:14:32.760279,795
2018/04/01/18:14:32.760712,795
2018/04/01/18:14:32.784092,799
2018/04/01/18:14:32.784107,799
2018/04/01/18:14:32.806222,858
2018/04/01/18:14:32.806353,858
2018/04/01/18:14:32.821486,794
2018/04/01/18:14:32.821537,794
2018/04/01/18:14:32.853129,805
2018/04/01/18:14:32.853338,805
2018/04/01/18:14:32.868732,927
2018/04/01/18:14:32.868876,927
2018/04/01/18:14:32.890845,788
2018/04/01/18:14:32.890861,788
2018/04/01/18:14:32.909899,799
2018/04/01/18:14:32.909902,799
2018/04/01/18:14:32.934273,896
2018/04/01/18:14:32.935050,896
2018/04/01/18:14:32.953962,792
2018/04/01/18:14:32.954002,792
2018/04/01/18:14:32.990548,882
2018/04/01/18:14:32.990822,882
2018/04/01/18:14:33.000142,844
2018/04/01/18:14:33.000150,844
2018/04/01/18:14:33.020175,898
2018/04/01/18:14:33.020216,898
2018/04/01/18:14:33.035069,824
2018/04/01/18:14:33.035384,824
2018/04/01/18:14:33.060141,794
2018/04/01/18:14:33.060242,794
2018/04/01/18:14:33.081704,832
2018/04/01/18:14:33.081837,832
2018/04/01/18:14:33.103944,799
2018/04/01/18:14:33.103947,799
2018/04/01/18:14:33.128031,873
2018/04/01/18:14:33.131745,873
2018/04/01/18:14:33.146054,975
2018/04/01/18:14:33.148151,975
2018/04/01/18:14:33.167463,820
2018/04/01/18:14:33.167582,820
2018/04/01/18:14:33.188870,795
2018/04/01/18:14:33.190332,795
2018/04/01/18:14:33.206943,799
2018/04/01/18:14:33.206947,799
2018/04/01/18:14:33.228368,820
2018/04/01/18:14:33.228375,820
2018/04/01/18:14:33.251811,839
2018/04/01/18:14:33.251822,839
2018/04/01/18:14:33.274717,832
2018/04/01/18:14:33.274771,832
2018/04/01/18:14:33.291822,844
2018/04/01/18:14:33.291834,844
2018/04/01/18:14:33.317508,896
2018/04/01/18:14:33.317518,896
2018/04/01/18:14:33.338688,832
2018/04/01/18:14:33.338709,832
2018/04/01/18:14:33.362963,928
2018/04/01/18:14:33.363000,928
2018/04/01/18:14:33.377395,839
2018/04/01/18:14:33.377401,839
2018/04/01/18:14:33.403286,886
2018/04/01/18:14:33.403691,886
2018/04/01/18:14:33.419184,860
2018/04/01/18:14:33.419310,860
2018/04/01/18:14:33.450451,862
2018/04/01/18:14:33.450560,862
2018/04/01/18:14:33.465891,833
2018/04/01/18:14:33.465943,833
2018/04/01/18:14:33.487406,833
2018/04/01/18:14:33.487764,833
2018/04/01/18:14:33.509753,845
2018/04/01/18:14:33.509876,845
2018/04/01/18:14:33.531190,944
2018/04/01/18:14:33.531308,944
2018/04/01/18:14:33.551223,954
2018/04/01/18:14:33.559767,954
