time,.data
2018/04/01/18:14:35.109742,830
2018/04/01/18:14:35.131262,831
2018/04/01/18:14:35.153334,835
2018/04/01/18:14:35.174569,841
2018/04/01/18:14:35.196000,842
2018/04/01/18:14:35.216068,832
2018/04/01/18:14:35.238116,840
2018/04/01/18:14:35.260702,830
2018/04/01/18:14:35.281457,831
2018/04/01/18:14:35.299003,835
2018/04/01/18:14:35.322120,851
2018/04/01/18:14:35.345309,828
2018/04/01/18:14:35.364747,822
2018/04/01/18:14:35.385447,846
2018/04/01/18:14:35.408390,854
2018/04/01/18:14:35.429664,839
2018/04/01/18:14:35.454612,811
2018/04/01/18:14:35.472978,829
2018/04/01/18:14:35.490857,844
2018/04/01/18:14:35.512646,848
2018/04/01/18:14:35.541266,830
2018/04/01/18:14:35.557843,812
2018/04/01/18:14:35.580684,844
2018/04/01/18:14:35.599417,836
2018/04/01/18:14:35.623180,842
2018/04/01/18:14:35.643760,848
2018/04/01/18:14:35.661628,841
2018/04/01/18:14:35.687240,847
2018/04/01/18:14:35.707118,839
2018/04/01/18:14:35.727942,846
2018/04/01/18:14:35.750402,850
2018/04/01/18:14:35.768973,836
2018/04/01/18:14:35.793417,840
2018/04/01/18:14:35.819269,832
2018/04/01/18:14:35.835948,836
2018/04/01/18:14:35.860068,856
2018/04/01/18:14:35.878267,844
2018/04/01/18:14:35.900410,857
2018/04/01/18:14:35.918156,849
2018/04/01/18:14:35.940210,865
2018/04/01/18:14:35.962564,855
2018/04/01/18:14:35.986705,855
2018/04/01/18:14:36.007582,847
2018/04/01/18:14:36.028585,847
2018/04/01/18:14:36.053417,857
2018/04/01/18:14:36.071628,855
2018/04/01/18:14:36.089323,835
2018/04/01/18:14:36.111876,860
2018/04/01/18:14:36.132431,866
2018/04/01/18:14:36.152198,864
2018/04/01/18:14:36.174874,844
2018/04/01/18:14:36.201564,864
2018/04/01/18:14:36.221945,855
2018/04/01/18:14:36.241748,835
2018/04/01/18:14:36.260817,843
2018/04/01/18:14:36.283905,865
2018/04/01/18:14:36.304090,835
2018/04/01/18:14:36.328646,862
2018/04/01/18:14:36.349615,849
2018/04/01/18:14:36.370972,849
2018/04/01/18:14:36.391466,855
2018/04/01/18:14:36.414723,844
2018/04/01/18:14:36.435189,852
2018/04/01/18:14:36.454673,839
2018/04/01/18:14:36.474252,846
2018/04/01/18:14:36.500544,856
2018/04/01/18:14:36.520580,844
2018/04/01/18:14:36.540140,856
2018/04/01/18:14:36.565345,849
2018/04/01/18:14:36.584749,851
2018/04/01/18:14:36.606262,860
2018/04/01/18:14:36.622576,853
2018/04/01/18:14:36.646984,864
2018/04/01/18:14:36.669288,864
2018/04/01/18:14:36.690955,855
2018/04/01/18:14:36.710682,852
2018/04/01/18:14:36.735139,843
2018/04/01/18:14:36.754854,831
2018/04/01/18:14:36.776864,839
2018/04/01/18:14:36.794049,848
2018/04/01/18:14:36.817621,872
2018/04/01/18:14:36.837239,856
2018/04/01/18:14:36.864443,851
2018/04/01/18:14:36.888407,852
